Term,Definition
3G,"3G is a collection of third generation cellular data technologies.  The first generation (1G) was introduced in 1982, while the second generation of cellular data technologies (2G) became standardized in the early 1990s.  3G technologies were introduced as early as 2001, but did not gain widespread use until 2007."
403 Error,"A 403 error is an HTTP error code that indicates access to a specific URL is forbidden.  Websites often display 403 errors with a generic message such as, ""You don't have permission to access this resource."""
404 Error,"A 404 error is a common website error message that indicates a webpage cannot be found.  It may be produced when a user clicks an outdated (or ""broken"") link or when a URL is typed incorrectly in a Web browser's address field.  Some websites display custom 404 error pages, which may look similar to other pages on the site.  Other websites simply display the Web server's default error message text, which typically begins with ""Not Found.""  Regardless of the appearance, a 404 error means the server is up and running, but the webpage or path to the webpage is not valid."
4G,"4G is a collection of fourth generation cellular data technologies.  It succeeds 3G and is also called ""IMT-Advanced,"" or ""International Mobile Telecommunications Advanced.""  4G was made available as early as 2005 in South Korea under the name WiMAX and was rolled out in several European countries over the next few years.  It became available in the United States in 2009, with Sprint being the first carrier to offer a 4G cellular network."
5G,"5G is the fifth generation of cellular data technology.  It succeeds 4G and related technologies, including LTE.  The first 5G cellular networks were constructed in 2018, while 5G devices became widespread in 2019 and 2020."
ActiveX,ActiveX is a technology introduced by Microsoft in 1996 as part of the OLE framework.  It includes a collection of prewritten software components that developers can implement within an application or webpage.  This provides a simple way for programmers to add extra functionality to their software or website without needing to write code from scratch.
Address Bar,"An address bar is a text field near the top of a Web browser window that displays the URL of the current webpage.  The URL, or web address, reflects the address of the current page and automatically changes whenever you visit a new webpage.  Therefore, you can always check the location of the webpage you are currently viewing with the browser's address bar."
Adware,"Adware is free software that is supported by advertisements. Instead of generating revenue through sales, an adware developer sells online ads that appear while the app runs. The developer may also sell an upgraded ad-free version of their software to users who want to use the app without ads."
Affiliate,"An Internet affiliate is a company, organization, or individual that markets another company's products through their website.  In exchange for marketing their products, companies pay affiliates a commission for each sale they generate."
Ajax,"Ajax is a combination of Web development technologies used for creating dynamic websites.  While the term ""Ajax"" is not written in all caps like most tech acronyms, the letters stand for ""Asynchronous JavaScript And XML.""  Therefore, websites that use Ajax combine JavaScript and XML to display dynamic content."
Apache,"Apache is the most popular Web server software.  It enables a computer to host one or more websites that can be accessed over the Internet using a Web browser.  The first version of Apache was released in 1995 by the Apache Group.  In 1999, the Apache Group became the Apache Software Foundation, a non-profit organization that currently maintains the development of the Apache Web server software."
Applet,"An applet is a small application designed to run within another application.  While the term ""applet"" is sometimes used to describe small programs included with a computer's operating system, it usually refers to Java applets, or small applications written in the Java programming language."
Application Server,"An application server is a server specifically designed to run applications.  The ""server"" includes both the hardware and software that provide an environment for programs to run."
Archie,"Archie is a program that allows you to search for files available on one or more FTP servers.  It was commonly used in the early 1990s, but has been replaced by standard web-based search engines and peer-to-peer (P2P) file sharing services."
ASP,"ASP has two different meanings in the IT world: 1) Application Service Provider, and 2) Active Server Page."
ASP.NET,"ASP.NET is a set of Web development tools offered by Microsoft.  Programs like Visual Studio .NET and Visual Web Developer allow Web developers to create dynamic websites using a visual interface.  Of course, programmers can write their own code and scripts and incorporate it into ASP.NET websites as well.  Though it often seen as a successor to Microsoft's ASP programming technology, ASP.NET also supports Visual Basic.NET, JScript .NET and open-source languages like Python and Perl."
ATM,"Stands for ""Asynchronous Transfer Mode.""  Most people know of ATMs as automated teller machines -- those friendly boxes that allow you to withdraw cash from your bank or credit account while charging you a ridiculous surcharge for the service.  In the computer world, however, ATM has a different meaning.  Asynchronous Transfer Mode is a networking technology that transfers data in packets or cells of a fixed size."
Attachment,"An attachment, or email attachment, is a file sent with an email message.  It may be an image, video, text document, or any other type of file."
AUP,"Stands for ""Acceptable Use Policy.""  An AUP is list of rules you must follow in order to use a website or Internet service.  It is similar to a software license agreement (SLA), but is used specifically for Internet services."
Autoresponder,"An autoresponder is a script that automatically replies to emails sent to a specific email address.  It may be used for away messages, email confirmations, or for several other purposes."
Avatar,"Generally speaking, an avatar is the embodiment of a person or idea.  However, in the computer world, an avatar specifically refers to a character that represents an online user.  Avatars are commonly used in multiplayer gaming, online communities, and web forums."
Azure,"Azure is a cloud computing platform built and operated by Microsoft.  It allows companies to run applications and host content in the cloud.  While Microsoft designed Azure to support enterprise computing requirements, the service is also available to small businesses and individuals."
Backbone,"A backbone network is a robust, high-speed network that links multiple local networks into a single wide-area network. Similar to how a person's backbone carries signals to and from smaller groups of nerves in their nervous system, a backbone network forms the central communications infrastructure that transmits data between networks. The largest backbone network connects ISPs around the world to create the Internet."
Backlink,"A backlink is an incoming link from an external website to specific webpage.  For example, if you publish a webpage and 20 other websites link to it, your webpage has 20 backlinks.  Links to the page from within your own website are not included in the backlink total."
Banner Ad,"Whether you like it or not, much of the Web is run by advertising.  Just like television or radio, websites can offer free content by generating revenue from advertising.  While you may get tired of Web ads from time to time, most people would agree that seeing a few advertisements here and there is better than paying a usage fee for each website."
Bcc,"Stands for ""Blind Carbon Copy.""  Bcc is an email field that allows you to ""blind"" copy one or more recipients.  It is similar to the Cc field, but email addresses listed in the Bcc field are hidden from all recipients."
BGP,"Stands for ""Border Gateway Protocol.""  BGP is a protocol used for routing data transmissions over the Internet.  It helps determine the most efficient path, whether sending data down the street or across the globe."
Big Data,"The phrase ""big data"" is often used in enterprise settings to describe large amounts of data.  It does not refer to a specific amount of data, but rather describes a dataset that cannot be stored or processed using traditional database software."
Bing,"Bing is a search engine developed by Microsoft.  It provides a standard web search, as well as specialized searches for images, videos, shopping, news, maps, and other categories."
BitTorrent,BitTorrent is an open-source peer-to-peer (P2P) file-sharing protocol. It decentralizes the distribution of files by making each client that downloads a file also act as a server other clients can download from. It even allows the original file host to drop offline without affecting the availability of that file as long as at least one other computer has a full copy of it.
Blog,"A blog (short for ""web log"") is a type of website that consists of regularly-published posts — articles, journal entries, links to websites and articles, and other types of text-based content. A blog is typically maintained by a single person or a small group of contributors; it may focus on a single subject or cover a wide variety of topics based on the author's experiences, opinions, and expertise. The word ""blog"" may also be used as a verb to mean the act of writing and posting content to a blog, and people who write blogs are known as bloggers."
Bookmark,"A bookmark is a saved shortcut that directs your browser to a specific webpage.  It stores the title, URL, and favicon of the corresponding page.  Saving bookmarks allows you to easily access your favorite locations on the Web."
Bot,"A bot (short for ""robot"") is an automated program that runs over the Internet.  Some bots run automatically, while others only execute commands when they receive specific input.  There are many different types of bots, but some common examples include web crawlers, chat room bots, and malicious bots."
Botnet,"A botnet is a group of computers that are controlled from a single source and run related software programs and scripts.  While botnets can be used for distributed computing purposes, such as a scientific processing, the term usually refers to multiple computers that have been infected with malicious software."
Bounce,"The term ""bounce"" has several different IT related meanings, yet none of them include bouncy balls.  The most common definition of bounce used in the computer world refers to e-mail messages."
Broadband,"Broadband refers to high-speed data transmission over a single cable, carrying a large amount of data across multiple signals simultaneously. It commonly refers to a high-bandwidth, always-on Internet connection. The most common types of broadband connections are DSL, cable, fiber, and mobile wireless."
Brute Force Attack,"A brute force attack is an attempt to gain access to a system using successive login attempts.  It can be performed manually or by using an automated script.  In either case, a brute force attack tries different username and password combinations with the hope of discovering a valid login."
Captcha,"A captcha is program used to verify that a human, rather than a computer, is entering data.  Captchas are commonly seen at the end of online forms and ask the user to enter text from a distorted image.  The text in the image may be wavy, have lines through it, or may be highly irregular, making it nearly impossible for an automated program to recognize it.  (Of course, some captchas are so distorted that they can be difficult for humans to recognize as well.)  Fortunately, most captchas allow the user to regenerate the image if the text is too difficult to read.  Some even include an auditory pronunciation feature."
Cc,"Stands for ""Carbon Copy."""
CDN,"Stands for ""Content Delivery Network.""  A CDN is a group of servers distributed in different locations.  Small CDNs may be located within a single country, while large CDNs are spread across data centers around the world."
Certificate,"An SSL certificate, or digital certificate, is a file installed on a secure web server that identifies a website. A digital certificate establishes the identity and authenticity of the company that runs a website so that visitors can trust that the website is secure and reliable. In order to verify that these sites are legitimate (that the owners are who they say they are), the companies and their websites are verified by a third-party certificate authority, such as IdenTrust or DigiCert."
